id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,link,strat_key,price,url,variants
31182,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2012,Casual,Cabarelli Men Black Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/556396cb47c8707057f00c2bbab61841_images.jpg,Accessories-Accessories-Accessory Gift Set-Black-Men-Casual,769,Accessory-Gift-Set/CABARELLI/Cabarelli-Men-Black-Accessory-Gift-Set/31182/buy,Size:ONESIZE
31186,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/5d1880159f53a4e66379b45e8f893cca_images.jpg,Accessories-Accessories-Accessory Gift Set-Black-Men-Casual,943,Accessory-Gift-Set/CABARELLI/Cabarelli-Men-Accessory-Gift-Set/31186/buy,Size:ONESIZE
25067,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/8c6e41f7eb2a300474752c17eccd9960_images.jpg,Accessories-Accessories-Accessory Gift Set-Black-Men-Formal,1695,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Black-Accessory-Gift-Set/25067/buy,Size:ONESIZE
23103,Men,Accessories,Accessories,Accessory Gift Set,Black,Fall,2011,Formal,"Turtle Men Formal Black Tie, Cufflink and Pocket Square Combo Set",http://assets.myntassets.com/v1/images/style/properties/Turtle-Men-Formal-Black-Tie-Cufflink-and-Pocket-Square-Combo-Set71cb7bd26b040432033d451ae17f7380_images.jpg,Accessories-Accessories-Accessory Gift Set-Black-Men-Formal,1345,Accessory-Gift-Set/Turtle/Turtle-Men-Formal-Black-Tie-Cufflink-and-Pocket-Square-Combo-Set/23103/buy,Size:ONESIZE
17379,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,http://assets.myntassets.com/v1/images/style/properties/e24ce94998fd4c04ea6720159f44f384_images.jpg,Accessories-Accessories-Accessory Gift Set-Blue-Men-Formal,1274,Accessory-Gift-Set/Arrow/Arrow-Men-Formal-Blue-TieCufflinkPocket-square---Combo-Pack/17379/buy,Size:ONESIZE
19934,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Reid & Taylor Men Formal Blue  Tie+Cufflink+Pocket square - Combo Pack,http://assets.myntassets.com/v1/images/style/properties/fdd83ed218403eaac851ccf440882fff_images.jpg,Accessories-Accessories-Accessory Gift Set-Blue-Men-Formal,2295,Accessory-Gift-Set/Reid--Taylor/Reid--Taylor-Men-Formal-Blue--TieCufflinkPocket-square---Combo-Pack/19934/buy,Size:ONESIZE
31185,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/7cc3f3708701437a8e83f5cae08d3839_images.jpg,Accessories-Accessories-Accessory Gift Set-Brown-Men-Casual,1039,Accessory-Gift-Set/CABARELLI/Cabarelli-Men-Accessory-Gift-Set/31185/buy,Size:ONESIZE
31200,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/Cabarelli-Men-Accessory-Gift-Set_8a4e77dbd661e3a05d85e7eb3f43e946_images.jpg,Accessories-Accessories-Accessory Gift Set-Brown-Men-Casual,769,Accessory-Gift-Set/CABARELLI/Cabarelli-Men-Accessory-Gift-Set/31200/buy,Size:ONESIZE
25050,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/6f816a99d08d615cb0df3bf2da650cae_images.jpg,Accessories-Accessories-Accessory Gift Set-Brown-Men-Formal,1695,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Brown-Accessory-Gift-Set/25050/buy,Size:ONESIZE
25071,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/51ff1fe4b0f0adb75aacf89efb149ef4_images.jpg,Accessories-Accessories-Accessory Gift Set-Brown-Men-Formal,1695,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Brown-Accessory-Gift-Set/25071/buy,Size:ONESIZE
23105,Men,Accessories,Accessories,Accessory Gift Set,Grey,Fall,2011,Formal,Turtle Men Grey Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/Turtle-Men-Formal-Grey-Tie-Cufflink-and-Pocket-Square-Combo-Set_0b42944b3527ba7b6cd1afcadec94932_images.jpg,Accessories-Accessories-Accessory Gift Set-Grey-Men-Formal,1345,Accessory-Gift-Set/Turtle/Turtle-Men-Grey-Accessory-Gift-Set/23105/buy,Size:ONESIZE
25084,Men,Accessories,Accessories,Accessory Gift Set,Grey,Winter,2015,Formal,Lino Perros Men Formal Grey Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/427e0292ae2bc8d6c97a6b0a03f6c6d0_images.jpg,Accessories-Accessories-Accessory Gift Set-Grey-Men-Formal,1695,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Grey-Accessory-Gift-Set/25084/buy,Size:ONESIZE
58920,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,http://assets.myntassets.com/v1/images/style/properties/Hakashi-Men-Maroon-Combo-pack-TieCufflinkPocket-square_c1eff5d8ed21a4d908409b5beab07b92_images.jpg,Accessories-Accessories-Accessory Gift Set-Maroon-Men-Casual,892,Accessory-Gift-Set/Hakashi/Hakashi-Men-Combo-pack-TieCufflinkPocket-square/58920/buy,Size:Onesize
17362,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,http://assets.myntassets.com/v1/images/style/properties/5e9907be6df66f752aa943cbdc99a54c_images.jpg,Accessories-Accessories-Accessory Gift Set-Maroon-Men-Formal,1274,Accessory-Gift-Set/Arrow/Arrow-Men-Formal-Maroon-TieCufflinkPocket-square---Combo-Pack/17362/buy,Size:ONESIZE
25079,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015,Formal,Lino Perros Men Formal Maroon Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/829afe704e8a81618070c12e747c5505_images.jpg,Accessories-Accessories-Accessory Gift Set-Maroon-Men-Formal,1695,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Maroon-Accessory-Gift-Set/25079/buy,Size:ONESIZE
58921,Men,Accessories,Accessories,Accessory Gift Set,Multi,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,http://assets.myntassets.com/v1/images/style/properties/Hakashi-Men-Combo-pack-TieCufflinkPocket-square_d574f53ebc1a7f4a6d9f1504746824b1_images.jpg,Accessories-Accessories-Accessory Gift Set-Multi-Men-Casual,892,Accessory-Gift-Set/Hakashi/Hakashi-Men-Combo-pack-TieCufflinkPocket-square/58921/buy,Size:Onesize
25077,Men,Accessories,Accessories,Accessory Gift Set,Navy Blue,Winter,2015,Formal,Lino Perros Men Formal Navy Blue Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/8d07d20afe1536e6e5f82aee5dacc732_images.jpg,Accessories-Accessories-Accessory Gift Set-Navy Blue-Men-Formal,1995,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Navy-Blue-Accessory-Gift-Set/25077/buy,Size:ONESIZE
23100,Men,Accessories,Accessories,Accessory Gift Set,Navy Blue,Fall,2011,Formal,"Turtle Men Formal Navy Blue Tie, Cufflink and Pocket Square Combo Set",http://assets.myntassets.com/v1/images/style/properties/04f22705fa64b9d55e886acf8123a4d8_images.jpg,Accessories-Accessories-Accessory Gift Set-Navy Blue-Men-Formal,1345,Accessory-Gift-Set/Turtle/Turtle-Men-Formal-Navy-Blue-Tie-Cufflink-and-Pocket-Square-Combo-Set/23100/buy,Size:ONESIZE
25072,Men,Accessories,Accessories,Accessory Gift Set,Pink,Winter,2015,Formal,Lino Perros Men Formal Pink Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/9c74f1091e05396186b561b8b39ea204_images.jpg,Accessories-Accessories-Accessory Gift Set-Pink-Men-Formal,1295,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Pink-Accessory-Gift-Set/25072/buy,Size:ONESIZE
23101,Men,Accessories,Accessories,Accessory Gift Set,Pink,Fall,2011,Formal,"Turtle Men Formal Pink Tie, Cufflink and Pocket Square Combo Set",http://assets.myntassets.com/v1/images/style/properties/3407847436a25067256fc19dbbef7ca2_images.jpg,Accessories-Accessories-Accessory Gift Set-Pink-Men-Formal,1345,Accessory-Gift-Set/Turtle/Turtle-Men-Formal-Pink-Tie-Cufflink-and-Pocket-Square-Combo-Set/23101/buy,Size:ONESIZE
17373,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,http://assets.myntassets.com/v1/images/style/properties/6a05657727486ced4bb06e924e63ee59_images.jpg,Accessories-Accessories-Accessory Gift Set-Purple-Men-Formal,1274,Accessory-Gift-Set/Arrow/Arrow-Men-Formal-Purple-TieCufflinkPocket-square---Combo-Pack/17373/buy,Size:ONESIZE
25048,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,http://assets.myntassets.com/v1/images/style/properties/151041e79eece28fc7621c3a772a5b44_images.jpg,Accessories-Accessories-Accessory Gift Set-Purple-Men-Formal,1695,Accessory-Gift-Set/Lino-Perros/Lino-Perros-Men-Formal-Purple-Accessory-Gift-Set/25048/buy,Size:ONESIZE
58924,Men,Accessories,Accessories,Accessory Gift Set,Red,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,http://assets.myntassets.com/v1/images/style/properties/Hakashi-Men-Red-Combo-pack-TieCufflinkPocket-square_e2334c5515397e8b2203a1b8c743ff6b_images.jpg,Accessories-Accessories-Accessory Gift Set-Red-Men-Casual,892,Accessory-Gift-Set/Hakashi/Hakashi-Men-Combo-pack-TieCufflinkPocket-square/58924/buy,Size:Onesize
